response,item,code,node
4,5,Hancock_Participant19_18042017,2t9re
3,6,Hancock_Participant19_18042017,2t9re
3,7,Hancock_Participant19_18042017,2t9re
4,8,Hancock_Participant19_18042017,2t9re
3,9,Hancock_Participant19_18042017,2t9re
1,1,Hancock_Participant20_18042017,2t9re
5,2,Hancock_Participant20_18042017,2t9re
1,3,Hancock_Participant20_18042017,2t9re
5,4,Hancock_Participant20_18042017,2t9re
4,5,Hancock_Participant20_18042017,2t9re
2,6,Hancock_Participant20_18042017,2t9re
2,7,Hancock_Participant20_18042017,2t9re
1,8,Hancock_Participant20_18042017,2t9re
3,9,Hancock_Participant20_18042017,2t9re
2,1,Hancock_Participant21_19042017,2t9re
2,2,Hancock_Participant21_19042017,2t9re
1,3,Hancock_Participant21_19042017,2t9re
3,4,Hancock_Participant21_19042017,2t9re
2,5,Hancock_Participant21_19042017,2t9re
2,6,Hancock_Participant21_19042017,2t9re
2,7,Hancock_Participant21_19042017,2t9re
2,8,Hancock_Participant21_19042017,2t9re
2,9,Hancock_Participant21_19042017,2t9re
3,1,Hancock_Participant22_19042017,2t9re
3,2,Hancock_Participant22_19042017,2t9re
4,3,Hancock_Participant22_19042017,2t9re
4,4,Hancock_Participant22_19042017,2t9re
2,5,Hancock_Participant22_19042017,2t9re
4,6,Hancock_Participant22_19042017,2t9re
3,7,Hancock_Participant22_19042017,2t9re
3,8,Hancock_Participant22_19042017,2t9re
3,9,Hancock_Participant22_19042017,2t9re
4,1,Hancock_Participant23_19042017,2t9re
4,2,Hancock_Participant23_19042017,2t9re
2,3,Hancock_Participant23_19042017,2t9re
5,4,Hancock_Participant23_19042017,2t9re
4,5,Hancock_Participant23_19042017,2t9re
2,6,Hancock_Participant23_19042017,2t9re
2,7,Hancock_Participant23_19042017,2t9re
2,8,Hancock_Participant23_19042017,2t9re
2,9,Hancock_Participant23_19042017,2t9re
1,1,Hancock_Participant24_19042017,2t9re
1,2,Hancock_Participant24_19042017,2t9re
1,3,Hancock_Participant24_19042017,2t9re
4,4,Hancock_Participant24_19042017,2t9re
4,5,Hancock_Participant24_19042017,2t9re
1,6,Hancock_Participant24_19042017,2t9re
2,7,Hancock_Participant24_19042017,2t9re
4,8,Hancock_Participant24_19042017,2t9re
3,9,Hancock_Participant24_19042017,2t9re
2,1,Hancock_Participant25_20042017,2t9re
4,2,Hancock_Participant25_20042017,2t9re
4,3,Hancock_Participant25_20042017,2t9re
5,4,Hancock_Participant25_20042017,2t9re
5,5,Hancock_Participant25_20042017,2t9re
3,6,Hancock_Participant25_20042017,2t9re
5,7,Hancock_Participant25_20042017,2t9re
5,8,Hancock_Participant25_20042017,2t9re
4,9,Hancock_Participant25_20042017,2t9re
1,1,Hancock_Participant26_20042017,2t9re
2,2,Hancock_Participant26_20042017,2t9re
1,3,Hancock_Participant26_20042017,2t9re
2,4,Hancock_Participant26_20042017,2t9re
2,5,Hancock_Participant26_20042017,2t9re
2,6,Hancock_Participant26_20042017,2t9re
2,7,Hancock_Participant26_20042017,2t9re
1,8,Hancock_Participant26_20042017,2t9re
1,9,Hancock_Participant26_20042017,2t9re
4,1,Hancock_Participant27_20042017,2t9re
4,2,Hancock_Participant27_20042017,2t9re
4,3,Hancock_Participant27_20042017,2t9re
5,4,Hancock_Participant27_20042017,2t9re
5,5,Hancock_Participant27_20042017,2t9re
3,6,Hancock_Participant27_20042017,2t9re
3,7,Hancock_Participant27_20042017,2t9re
4,8,Hancock_Participant27_20042017,2t9re
4,9,Hancock_Participant27_20042017,2t9re
1,1,Hancock_Participant28_20042017,2t9re
4,2,Hancock_Participant28_20042017,2t9re
1,3,Hancock_Participant28_20042017,2t9re
4,4,Hancock_Participant28_20042017,2t9re
